"Dates"	"Value"	"Modif"
2005-01-01	497.049825322736	"NO"
2005-01-02	500.825518932467	"NO"
2005-01-03	488.094184114741	"NO"
2005-01-04	462.119005471619	"NO"
2005-01-05	479.227245656727	"NO"
2005-01-06	360.294727248759	"NO"
2005-01-07	497.026722584019	"NO"
2005-01-08	464.405924154523	"NO"
2005-01-09	385.084320951786	"NO"
2005-01-10	378.975695659946	"NO"
2005-01-11	509.845042322661	"NO"
2005-01-12	406.916270889466	"NO"
2005-01-13	404.224977838706	"NO"
2005-01-14	354.567695552752	"NO"
2005-01-15	328.300235498294	"NO"
2005-01-16	423.145927597004	"NO"
2005-01-17	511.573369271943	"NO"
2005-01-18	495.618219374448	"NO"
2005-01-19	516.841540730901	"NO"
2005-01-20	490.71106963988	"NO"
2005-01-21	549.379992390404	"NO"
2005-01-22	523.248206700485	"NO"
2005-01-23	527.702857361974	"NO"
2005-01-24	450.258736049311	"NO"
2005-01-25	461.459962871955	"NO"
2005-01-26	524.115175081129	"NO"
2005-01-27	501.18892892155	"NO"
2005-01-28	426.582673843668	"NO"
2005-01-29	403.393032983399	"NO"
2005-01-30	480.27245060843	"NO"
2005-01-31	502.09562588973	"NO"
2005-02-01	487.194956853678	"SI"
2005-02-02	480.977502618221	"SI"
2005-02-03	453.674442996748	"SI"
2005-02-04	409.068581204583	"SI"
2005-02-05	391.163036124034	"SI"
2005-02-06	389.829792622348	"SI"
2005-02-07	351.135119103978	"SI"
2005-02-08	441.31552987986	"SI"
2005-02-09	460.640644471862	"SI"
2005-02-10	341.435579665892	"SI"
2005-02-11	464.684869037032	"SI"
2005-02-12	389.948885448633	"SI"
2005-02-13	431.314106104993	"SI"
2005-02-14	476.207960090733	"SI"
2005-02-15	481.485737222045	"SI"
2005-02-16	432.66051579292	"SI"
2005-02-17	478.761863583029	"SI"
2005-02-18	475.647872692591	"SI"
2005-02-19	399.708772852564	"SI"
2005-02-20	486.569463788543	"SI"
2005-02-21	486.679847635218	"SI"
2005-02-22	485.145693108968	"SI"
2005-02-23	467.995532806075	"SI"
2005-02-24	407.540458044339	"SI"
2005-02-25	484.230447544248	"SI"
2005-02-26	482.788939166329	"SI"
2005-02-27	462.527311571156	"SI"
2005-02-28	462.40159871454	"SI"
2005-03-01	431.152083861439	"SI"
2005-03-02	391.72748398	"SI"
2005-03-03	387.19006089601	"SI"
2005-03-04	444.633619408435	"SI"
2005-03-05	445.499537009487	"SI"
2005-03-06	476.369354392557	"SI"
2005-03-07	361.197267100438	"SI"
2005-03-08	394.117821448833	"SI"
2005-03-09	392.980413313802	"SI"
2005-03-10	443.069142495227	"SI"
2005-03-11	455.269146306056	"SI"
2005-03-12	419.77665047446	"SI"
2005-03-13	428.35952808208	"SI"
2005-03-14	434.948574140868	"SI"
2005-03-15	461.152323827408	"SI"
2005-03-16	416.512327388521	"SI"
2005-03-17	416.654196763676	"SI"
2005-03-18	405.28371222107	"SI"
2005-03-19	448.49595124944	"SI"
2005-03-20	388.338050029995	"SI"
2005-03-21	427.346409929664	"SI"
2005-03-22	367.928746842998	"SI"
2005-03-23	486.219305556788	"SI"
2005-03-24	435.805779163772	"SI"
2005-03-25	456.043481395284	"SI"
2005-03-26	450.657963851047	"SI"
2005-03-27	479.130050691824	"SI"
