"Dates"	"Value"	"Modif"
2005-01-01	0	"NO"
2005-01-02	0	"NO"
2005-01-03	0	"NO"
2005-01-04	0	"NO"
2005-01-05	0	"NO"
2005-01-06	0	"NO"
2005-01-07	0	"NO"
2005-01-08	0	"NO"
2005-01-09	0	"NO"
2005-01-10	3.5	"NO"
2005-01-11	0	"NO"
2005-01-12	6.4	"NO"
2005-01-13	0	"NO"
2005-01-14	0	"NO"
2005-01-15	0	"NO"
2005-01-16	0	"NO"
2005-01-17	0	"NO"
2005-01-18	0	"NO"
2005-01-19	0	"NO"
2005-01-20	0	"NO"
2005-01-21	0	"NO"
2005-01-22	0	"NO"
2005-01-23	0	"NO"
2005-01-24	0	"NO"
2005-01-25	0.8	"NO"
2005-01-26	0	"NO"
2005-01-27	0	"NO"
2005-01-28	0	"NO"
2005-01-29	0	"NO"
2005-01-30	0	"NO"
2005-01-31	0	"NO"
2005-02-01	0	"NO"
2005-02-02	0	"NO"
2005-02-03	0	"NO"
2005-02-04	0	"NO"
2005-02-05	0	"NO"
2005-02-06	0	"NO"
2005-02-07	0	"NO"
2005-02-08	0	"NO"
2005-02-09	0	"NO"
2005-02-10	0	"NO"
2005-02-11	0	"NO"
2005-02-12	0	"NO"
2005-02-13	0	"NO"
2005-02-14	0	"NO"
2005-02-15	0	"NO"
2005-02-16	0	"NO"
2005-02-17	0	"NO"
2005-02-18	0	"NO"
2005-02-19	0	"NO"
2005-02-20	0	"NO"
2005-02-21	0	"NO"
2005-02-22	0	"NO"
2005-02-23	0	"NO"
2005-02-24	0	"NO"
2005-02-25	0	"NO"
2005-02-26	0	"NO"
2005-02-27	0	"NO"
2005-02-28	0	"NO"
2005-03-01	0	"NO"
2005-03-02	0	"NO"
2005-03-03	0	"NO"
2005-03-04	0	"NO"
2005-03-05	0	"NO"
2005-03-06	0	"NO"
2005-03-07	0	"NO"
2005-03-08	0	"NO"
2005-03-09	0	"NO"
2005-03-10	1.4	"NO"
2005-03-11	0	"NO"
2005-03-12	0	"NO"
2005-03-13	0	"NO"
2005-03-14	2	"NO"
2005-03-15	0	"NO"
2005-03-16	0	"NO"
2005-03-17	0	"NO"
2005-03-18	0	"NO"
2005-03-19	0	"NO"
2005-03-20	0	"NO"
2005-03-21	0	"NO"
2005-03-22	0.5	"NO"
2005-03-23	0	"NO"
2005-03-24	1.1	"NO"
2005-03-25	0	"NO"
2005-03-26	9.6	"NO"
2005-03-27	0	"NO"
2005-03-28	0	"NO"
2005-03-29	13.5	"NO"
2005-03-30	0	"NO"
2005-03-31	0	"NO"
2005-04-01	0	"NO"
2005-04-02	4.2	"NO"
2005-04-03	2.7	"NO"
2005-04-04	0	"NO"
2005-04-05	8.6	"NO"
2005-04-06	9.4	"NO"
2005-04-07	5.6	"NO"
2005-04-08	0	"NO"
2005-04-09	3.5	"NO"
2005-04-10	38	"NO"
2005-04-11	0	"NO"
2005-04-12	0	"NO"
2005-04-13	0	"NO"
2005-04-14	32.9	"NO"
2005-04-15	0	"NO"
2005-04-16	0	"NO"
2005-04-17	0	"NO"
2005-04-18	0	"NO"
2005-04-19	0	"NO"
2005-04-20	0	"NO"
2005-04-21	34.1	"NO"
2005-04-22	0	"NO"
2005-04-23	0	"NO"
2005-04-24	0	"NO"
2005-04-25	0	"NO"
2005-04-26	0	"NO"
2005-04-27	5.3	"NO"
2005-04-28	0	"NO"
2005-04-29	0	"NO"
2005-04-30	0	"NO"
2005-05-01	5.3	"NO"
2005-05-02	32	"NO"
2005-05-03	0	"NO"
2005-05-04	0	"NO"
2005-05-05	0.6	"NO"
2005-05-06	0	"NO"
2005-05-07	0	"NO"
2005-05-08	23.7	"NO"
2005-05-09	0	"NO"
2005-05-10	0	"NO"
2005-05-11	6	"NO"
2005-05-12	23.2	"NO"
2005-05-13	27.3	"NO"
2005-05-14	0	"NO"
2005-05-15	0	"NO"
2005-05-16	48.9	"NO"
2005-05-17	0	"NO"
2005-05-18	0	"NO"
2005-05-19	0	"NO"
2005-05-20	0	"NO"
2005-05-21	16.6	"NO"
2005-05-22	2	"NO"
2005-05-23	0	"NO"
2005-05-24	0.8	"NO"
2005-05-25	7.3	"NO"
2005-05-26	0	"NO"
2005-05-27	0	"NO"
2005-05-28	0	"NO"
2005-05-29	29.9	"NO"
2005-05-30	0	"NO"
2005-05-31	5.6	"NO"
2005-06-01	0	"NO"
2005-06-02	23.7	"NO"
2005-06-03	0.3	"NO"
2005-06-04	0	"NO"
2005-06-05	0	"NO"
2005-06-06	0	"NO"
2005-06-07	0.4	"NO"
2005-06-08	0	"NO"
2005-06-09	0	"NO"
2005-06-10	0	"NO"
2005-06-11	1.3	"NO"
2005-06-12	0	"NO"
2005-06-13	6.6	"NO"
2005-06-14	0	"NO"
2005-06-15	0	"NO"
2005-06-16	0	"NO"
2005-06-17	0	"NO"
2005-06-18	0	"NO"
2005-06-19	0	"NO"
2005-06-20	7.7	"NO"
2005-06-21	0	"NO"
2005-06-22	1.3	"NO"
2005-06-23	0	"NO"
2005-06-24	41.4	"NO"
2005-06-25	0	"NO"
2005-06-26	29	"NO"
2005-06-27	0	"NO"
2005-06-28	0	"NO"
2005-06-29	4	"NO"
2005-06-30	0	"NO"
2005-07-01	0	"NO"
2005-07-02	0	"NO"
2005-07-03	13.1	"NO"
2005-07-04	0	"NO"
2005-07-05	49	"NO"
2005-07-06	1.7	"NO"
2005-07-07	0	"NO"
2005-07-08	0.3	"NO"
2005-07-09	0	"NO"
2005-07-10	3.8	"NO"
2005-07-11	21.2	"NO"
2005-07-12	14.9	"NO"
2005-07-13	0	"NO"
2005-07-14	0	"NO"
2005-07-15	0	"NO"
2005-07-16	0	"NO"
2005-07-17	1.8	"NO"
2005-07-18	14	"NO"
2005-07-19	1.2	"NO"
2005-07-20	0.5	"NO"
2005-07-21	8.2	"NO"
2005-07-22	15.4	"NO"
2005-07-23	21.4	"NO"
2005-07-24	23.3	"NO"
2005-07-25	0	"NO"
2005-07-26	0	"NO"
2005-07-27	1.4	"NO"
2005-07-28	0	"NO"
2005-07-29	46.8	"NO"
2005-07-30	0	"NO"
2005-07-31	0	"NO"
2005-08-01	0	"NO"
2005-08-02	0	"NO"
2005-08-03	6.5	"NO"
2005-08-04	0	"NO"
2005-08-05	27.8	"NO"
2005-08-06	0	"NO"
2005-08-07	0	"NO"
2005-08-08	22.9	"NO"
2005-08-09	0	"NO"
2005-08-10	89.8	"NO"
2005-08-11	0	"NO"
2005-08-12	0	"NO"
2005-08-13	2.7	"NO"
2005-08-14	1	"NO"
2005-08-15	20.2	"NO"
2005-08-16	1.5	"NO"
2005-08-17	1.8	"NO"
2005-08-18	0	"NO"
2005-08-19	0	"NO"
2005-08-20	5.9	"NO"
2005-08-21	0.8	"NO"
2005-08-22	0	"NO"
2005-08-23	0	"NO"
2005-08-24	20.1	"NO"
2005-08-25	1	"NO"
2005-08-26	1.3	"NO"
2005-08-27	0.4	"NO"
2005-08-28	1.5	"NO"
2005-08-29	0	"NO"
2005-08-30	4.5	"NO"
2005-08-31	0	"NO"
2005-09-01	12	"NO"
2005-09-02	3.2	"NO"
2005-09-03	0.8	"NO"
2005-09-04	0	"NO"
2005-09-05	7.5	"NO"
2005-09-06	0	"NO"
2005-09-07	0	"NO"
2005-09-08	0	"NO"
2005-09-09	0	"NO"
2005-09-10	0	"NO"
2005-09-11	9.6	"NO"
2005-09-12	7	"NO"
2005-09-13	0	"NO"
2005-09-14	5.2	"NO"
2005-09-15	2	"NO"
2005-09-16	0	"NO"
2005-09-17	0	"NO"
2005-09-18	0	"NO"
2005-09-19	70	"NO"
2005-09-20	0	"NO"
2005-09-21	0.6	"NO"
2005-09-22	0	"NO"
2005-09-23	0.5	"NO"
2005-09-24	0	"NO"
2005-09-25	0	"NO"
2005-09-26	0	"NO"
2005-09-27	19.9	"NO"
2005-09-28	0	"NO"
2005-09-29	0	"NO"
2005-09-30	33	"NO"
2005-10-01	0	"NO"
2005-10-02	0	"NO"
2005-10-03	0	"NO"
2005-10-04	0	"NO"
2005-10-05	0	"NO"
2005-10-06	10	"NO"
2005-10-07	0	"NO"
2005-10-08	0	"NO"
2005-10-09	2.3	"NO"
2005-10-10	0	"NO"
2005-10-11	0	"NO"
2005-10-12	0.5	"NO"
2005-10-13	0.5	"NO"
2005-10-14	0	"NO"
2005-10-15	0	"NO"
2005-10-16	0	"NO"
2005-10-17	0	"NO"
2005-10-18	1.1	"NO"
2005-10-19	16.2	"NO"
2005-10-20	3.6	"NO"
2005-10-21	0.5	"NO"
2005-10-22	0.8	"NO"
2005-10-23	0	"NO"
2005-10-24	1.7	"NO"
2005-10-25	0	"NO"
2005-10-26	0	"NO"
2005-10-27	0	"NO"
2005-10-28	0	"NO"
2005-10-29	89.5	"NO"
2005-10-30	0	"NO"
2005-10-31	17.8	"NO"
2005-11-01	0	"NO"
2005-11-02	29.1	"NO"
2005-11-03	5	"NO"
2005-11-04	0	"NO"
2005-11-05	0	"NO"
2005-11-06	1.5	"NO"
2005-11-07	0	"NO"
2005-11-08	0	"NO"
2005-11-09	0	"NO"
2005-11-10	15.1	"NO"
2005-11-11	46.2	"NO"
2005-11-12	17.8	"NO"
2005-11-13	3.7	"NO"
2005-11-14	10.2	"NO"
2005-11-15	23.7	"NO"
2005-11-16	33.4	"NO"
2005-11-17	40.6	"NO"
2005-11-18	17.2	"NO"
2005-11-19	0	"NO"
2005-11-20	0	"NO"
2005-11-21	0.9	"NO"
2005-11-22	2	"NO"
2005-11-23	1	"NO"
2005-11-24	0	"NO"
2005-11-25	0	"NO"
2005-11-26	0	"NO"
2005-11-27	0	"NO"
2005-11-28	0	"NO"
2005-11-29	0	"NO"
2005-11-30	1.8	"SI"
2005-12-01	0	"NO"
2005-12-02	0	"NO"
2005-12-03	0	"NO"
2005-12-04	0	"NO"
2005-12-05	0.4	"NO"
2005-12-06	0	"NO"
2005-12-07	0	"NO"
2005-12-08	0	"NO"
2005-12-09	0	"NO"
2005-12-10	0	"NO"
2005-12-11	0	"NO"
2005-12-12	4.7	"NO"
2005-12-13	35.9	"NO"
2005-12-14	0	"NO"
2005-12-15	0	"NO"
2005-12-16	0	"NO"
2005-12-17	0	"NO"
2005-12-18	0	"NO"
2005-12-19	5.5	"NO"
2005-12-20	0	"NO"
2005-12-21	0	"NO"
2005-12-22	0	"NO"
2005-12-23	0	"NO"
2005-12-24	0	"NO"
2005-12-25	0.5	"NO"
2005-12-26	0	"NO"
2005-12-27	0	"NO"
2005-12-28	0	"NO"
2005-12-29	0	"NO"
2005-12-30	0	"NO"
2005-12-31	0	"SI"
2006-01-01	0	"NO"
2006-01-02	0	"NO"
2006-01-03	0	"NO"
2006-01-04	0	"NO"
2006-01-05	0	"NO"
2006-01-06	1.4	"NO"
2006-01-07	0	"NO"
2006-01-08	0	"NO"
2006-01-09	0	"NO"
2006-01-10	0	"NO"
2006-01-11	0	"NO"
2006-01-12	0	"NO"
2006-01-13	0	"NO"
2006-01-14	0	"NO"
2006-01-15	0	"NO"
2006-01-16	0	"NO"
2006-01-17	0	"NO"
2006-01-18	0	"NO"
2006-01-19	0	"NO"
2006-01-20	0	"NO"
2006-01-21	0	"NO"
2006-01-22	0	"NO"
2006-01-23	0	"NO"
2006-01-24	0	"NO"
2006-01-25	0	"NO"
2006-01-26	0	"NO"
2006-01-27	0	"NO"
2006-01-28	0	"NO"
2006-01-29	0	"NO"
2006-01-30	0	"NO"
2006-01-31	0	"NO"
2006-02-01	0	"NO"
2006-02-02	0	"NO"
2006-02-03	0	"NO"
2006-02-04	0.2	"NO"
2006-02-05	32.2	"NO"
2006-02-06	0	"NO"
2006-02-07	0	"NO"
2006-02-08	0	"NO"
2006-02-09	0	"NO"
2006-02-10	0	"NO"
2006-02-11	0	"NO"
2006-02-12	0	"NO"
2006-02-13	0	"NO"
2006-02-14	0	"NO"
2006-02-15	0	"NO"
2006-02-16	0	"NO"
2006-02-17	0	"NO"
2006-02-18	0	"NO"
2006-02-19	0	"NO"
2006-02-20	0	"NO"
2006-02-21	0	"NO"
2006-02-22	0	"NO"
2006-02-23	0	"NO"
2006-02-24	0	"NO"
2006-02-25	0	"NO"
2006-02-26	0	"NO"
2006-02-27	0	"NO"
2006-02-28	0	"NO"
2006-03-01	0	"NO"
2006-03-02	0	"NO"
2006-03-03	0	"NO"
2006-03-04	0	"NO"
2006-03-05	0	"NO"
2006-03-06	0	"NO"
2006-03-07	6.4	"NO"
2006-03-08	3.7	"NO"
2006-03-09	0	"NO"
2006-03-10	0	"NO"
2006-03-11	0	"NO"
2006-03-12	0	"NO"
2006-03-13	0	"NO"
2006-03-14	0	"NO"
2006-03-15	0	"NO"
2006-03-16	0	"NO"
2006-03-17	0	"NO"
2006-03-18	0	"NO"
2006-03-19	0	"NO"
2006-03-20	0	"NO"
2006-03-21	0	"NO"
2006-03-22	0	"NO"
2006-03-23	7.5	"NO"
2006-03-24	2.5	"NO"
2006-03-25	0	"NO"
2006-03-26	0	"NO"
2006-03-27	0	"NO"
2006-03-28	0	"NO"
2006-03-29	0	"NO"
2006-03-30	0	"NO"
2006-03-31	0	"NO"
2006-04-01	0	"NO"
2006-04-02	0	"NO"
2006-04-03	0	"NO"
2006-04-04	0	"NO"
2006-04-05	0	"NO"
2006-04-06	0	"NO"
2006-04-07	0.9	"NO"
2006-04-08	2.7	"NO"
2006-04-09	0	"NO"
2006-04-10	0	"NO"
2006-04-11	51.5	"NO"
2006-04-12	0.8	"NO"
2006-04-13	2.6	"NO"
2006-04-14	0	"NO"
2006-04-15	0	"NO"
2006-04-16	1.3	"NO"
2006-04-17	0	"NO"
2006-04-18	0	"NO"
2006-04-19	0	"NO"
2006-04-20	26.8	"NO"
2006-04-21	0	"NO"
2006-04-22	0	"NO"
2006-04-23	0	"NO"
2006-04-24	0.9	"NO"
2006-04-25	8.1	"NO"
2006-04-26	12.3	"NO"
2006-04-27	0	"NO"
2006-04-28	1.4	"NO"
2006-04-29	0	"NO"
2006-04-30	28.7	"NO"
2006-05-01	2.6	"NO"
2006-05-02	0	"NO"
2006-05-03	0	"NO"
2006-05-04	46.8	"NO"
2006-05-05	4.8	"NO"
2006-05-06	15.3	"NO"
2006-05-07	6.5	"NO"
2006-05-08	2	"NO"
2006-05-09	0	"NO"
2006-05-10	0.5	"NO"
2006-05-11	74	"NO"
2006-05-12	4.5	"NO"
2006-05-13	0	"NO"
2006-05-14	0	"NO"
2006-05-15	29.5	"NO"
2006-05-16	6.7	"NO"
2006-05-17	31	"NO"
2006-05-18	0	"NO"
2006-05-19	0	"NO"
2006-05-20	0	"NO"
2006-05-21	31	"NO"
2006-05-22	0	"NO"
2006-05-23	0	"NO"
2006-05-24	0	"NO"
2006-05-25	2.2	"NO"
2006-05-26	0	"NO"
2006-05-27	0	"NO"
2006-05-28	19.6	"NO"
2006-05-29	0	"NO"
2006-05-30	1.3	"NO"
2006-05-31	13.8	"NO"
2006-06-01	0	"NO"
2006-06-02	0	"NO"
2006-06-03	0	"NO"
2006-06-04	87.5	"NO"
2006-06-05	0.5	"NO"
2006-06-06	14.7	"NO"
2006-06-07	14.5	"NO"
2006-06-08	0	"NO"
2006-06-09	9	"NO"
2006-06-10	0.8	"NO"
2006-06-11	2.2	"NO"
2006-06-12	0	"NO"
2006-06-13	46.4	"NO"
2006-06-14	0	"NO"
2006-06-15	85.2	"NO"
2006-06-16	0	"NO"
2006-06-17	1	"NO"
2006-06-18	0	"NO"
2006-06-19	21	"NO"
