"Dates"	"Value"	"Modif"
2005-01-01	79	"NO"
2005-01-02	79	"NO"
2005-01-03	76	"NO"
2005-01-04	78	"NO"
2005-01-05	78	"NO"
2005-01-06	77	"NO"
2005-01-07	77	"NO"
2005-01-08	71	"NO"
2005-01-09	77	"NO"
2005-01-10	84	"NO"
2005-01-11	83	"NO"
2005-01-12	79	"NO"
2005-01-13	84	"NO"
2005-01-14	83	"NO"
2005-01-15	80	"NO"
2005-01-16	79	"NO"
2005-01-17	79	"NO"
2005-01-18	75	"NO"
2005-01-19	76	"NO"
2005-01-20	77	"NO"
2005-01-21	75	"NO"
2005-01-22	82	"NO"
2005-01-23	83	"NO"
2005-01-24	78	"NO"
2005-01-25	82	"NO"
2005-01-26	79	"NO"
2005-01-27	79	"NO"
2005-01-28	80	"NO"
2005-01-29	79	"NO"
2005-01-30	75	"NO"
2005-01-31	73	"NO"
2005-02-01	71	"NO"
2005-02-02	70	"NO"
2005-02-03	77.4949602211716	"SI"
2005-02-04	80	"NO"
2005-02-05	78	"NO"
2005-02-06	81	"NO"
2005-02-07	79	"NO"
2005-02-08	76	"NO"
2005-02-09	72	"NO"
2005-02-10	81	"NO"
2005-02-11	67	"NO"
2005-02-12	70	"NO"
2005-02-13	76	"NO"
2005-02-14	71	"NO"
2005-02-15	75.333097913647	"SI"
2005-02-16	77.8970489080054	"SI"
2005-02-17	78.1394958503925	"SI"
2005-02-18	75.132376533189	"SI"
2005-02-19	74	"NO"
2005-02-20	74	"NO"
2005-02-21	73	"NO"
2005-02-22	75	"NO"
2005-02-23	74	"NO"
2005-02-24	73	"NO"
2005-02-25	73	"NO"
2005-02-26	74	"NO"
2005-02-27	76.497041276694	"SI"
2005-02-28	78.2388279388528	"SI"
2005-03-01	78.5849827134373	"SI"
2005-03-02	77	"NO"
2005-03-03	76.3423228698196	"SI"
2005-03-04	76	"NO"
2005-03-05	78	"NO"
2005-03-06	75	"NO"
2005-03-07	74	"NO"
2005-03-08	75	"NO"
2005-03-09	74	"NO"
2005-03-10	78	"NO"
2005-03-11	78	"NO"
2005-03-12	75	"NO"
2005-03-13	77	"NO"
2005-03-14	74.1830833333333	"SI"
2005-03-15	74.4535293560606	"SI"
2005-03-16	75.6725882423511	"SI"
2005-03-17	75	"NO"
2005-03-18	73	"NO"
2005-03-19	74	"NO"
2005-03-20	74	"NO"
2005-03-21	77	"NO"
2005-03-22	76	"NO"
2005-03-23	74.1825669863225	"SI"
2005-03-24	77.5327208352172	"SI"
2005-03-25	74.823388459397	"SI"
2005-03-26	75.6521902103207	"SI"
2005-03-27	73	"NO"
2005-03-28	74	"NO"
2005-03-29	77.0269269917993	"SI"
2005-03-30	75	"NO"
2005-03-31	75	"NO"
2005-04-01	73	"NO"
2005-04-02	74	"NO"
2005-04-03	85	"NO"
2005-04-04	74.589042163857	"SI"
2005-04-05	79	"NO"
2005-04-06	76.180648578121	"SI"
2005-04-07	77	"NO"
2005-04-08	77	"NO"
2005-04-09	81.461073355362	"SI"
2005-04-10	78.6959102127605	"SI"
2005-04-11	82	"NO"
2005-04-12	76	"NO"
2005-04-13	76.7613574747996	"SI"
2005-04-14	76.429615912479	"SI"
2005-04-15	85	"NO"
2005-04-16	76.0408349291852	"SI"
2005-04-17	79.1085241245927	"SI"
2005-04-18	78.5635304052746	"SI"
2005-04-19	79.3956620536743	"SI"
2005-04-20	79	"NO"
2005-04-21	78	"NO"
2005-04-22	83	"NO"
2005-04-23	75	"NO"
2005-04-24	75	"NO"
2005-04-25	72	"NO"
2005-04-26	74	"NO"
2005-04-27	81.6257888936064	"SI"
2005-04-28	79.21156366935	"SI"
2005-04-29	85	"NO"
2005-04-30	78	"NO"
2005-05-01	81	"NO"
2005-05-02	88	"NO"
2005-05-03	89	"NO"
2005-05-04	79	"NO"
2005-05-05	88	"NO"
2005-05-06	77	"NO"
2005-05-07	76	"NO"
2005-05-08	74	"NO"
2005-05-09	81.3809362002845	"SI"
2005-05-10	78.5136768520699	"SI"
2005-05-11	81.9964320473294	"SI"
2005-05-12	85.0219835133063	"SI"
2005-05-13	85	"NO"
2005-05-14	85	"NO"
2005-05-15	78	"NO"
2005-05-16	78.3948713998933	"SI"
2005-05-17	89	"NO"
2005-05-18	82	"NO"
2005-05-19	76	"NO"
2005-05-20	83	"NO"
2005-05-21	80.1206508977234	"SI"
2005-05-22	86	"NO"
2005-05-23	85	"NO"
2005-05-24	75	"NO"
2005-05-25	83	"NO"
2005-05-26	87	"NO"
2005-05-27	79.2085397172477	"SI"
2005-05-28	75	"NO"
2005-05-29	77.4297981765822	"SI"
2005-05-30	78.0354312653638	"SI"
2005-05-31	79.5504338875819	"SI"
2005-06-01	83.8515535949156	"SI"
2005-06-02	85	"NO"
2005-06-03	76.5309518563157	"SI"
2005-06-04	79.5205518651989	"SI"
2005-06-05	83	"NO"
2005-06-06	81	"NO"
2005-06-07	82	"NO"
2005-06-08	80.0845137090589	"SI"
2005-06-09	77.9665878363254	"SI"
2005-06-10	81	"NO"
2005-06-11	80	"NO"
2005-06-12	82.0664477419526	"SI"
2005-06-13	85.336448286293	"SI"
2005-06-14	85	"NO"
2005-06-15	79	"NO"
2005-06-16	76.7899492987558	"SI"
2005-06-17	76.4206474877618	"SI"
2005-06-18	78.6191987936254	"SI"
2005-06-19	80.4548896067661	"SI"
2005-06-20	86	"NO"
2005-06-21	80.5828645847172	"SI"
2005-06-22	82	"NO"
2005-06-23	85	"NO"
2005-06-24	77.1062845666611	"SI"
