"Dates"	"Value"	"Modif"
2005-01-01	33.2	"NO"
2005-01-02	33.6	"NO"
2005-01-03	34.4	"NO"
2005-01-04	33.2	"NO"
2005-01-05	33.6	"NO"
2005-01-06	33.2	"NO"
2005-01-07	34.6	"NO"
2005-01-08	35.4	"NO"
2005-01-09	34	"NO"
2005-01-10	33.6	"NO"
2005-01-11	33.8	"NO"
2005-01-12	33.6	"NO"
2005-01-13	33.2	"NO"
2005-01-14	33	"NO"
2005-01-15	33.6	"NO"
2005-01-16	32	"NO"
2005-01-17	31.4	"NO"
2005-01-18	32.6	"NO"
2005-01-19	32.4	"NO"
2005-01-20	31.8	"NO"
2005-01-21	32.2	"NO"
2005-01-22	33.4	"NO"
2005-01-23	34	"NO"
2005-01-24	32.4	"NO"
2005-01-25	31.8	"NO"
2005-01-26	32.6	"NO"
2005-01-27	34.2	"NO"
2005-01-28	34.6	"NO"
2005-01-29	34.2	"NO"
2005-01-30	34.6	"NO"
2005-01-31	35	"NO"
2005-02-01	34.9	"NO"
2005-02-02	35.6	"NO"
2005-02-03	33.4	"NO"
2005-02-04	32	"NO"
2005-02-05	31.4	"NO"
2005-02-06	31.2	"NO"
2005-02-07	31.4	"NO"
2005-02-08	33.1	"NO"
2005-02-09	33.6	"NO"
2005-02-10	31	"NO"
2005-02-11	34.9	"NO"
2005-02-12	31.2	"NO"
2005-02-13	33	"NO"
2005-02-14	35.4	"NO"
2005-02-15	35.2	"NO"
2005-02-16	33.6	"NO"
2005-02-17	34	"NO"
2005-02-18	35.8	"NO"
2005-02-19	35.2	"NO"
2005-02-20	35.6	"NO"
2005-02-21	35.4	"NO"
2005-02-22	35.6	"NO"
2005-02-23	35.6	"NO"
2005-02-24	34.9	"NO"
2005-02-25	35.4	"NO"
2005-02-26	34	"NO"
2005-02-27	34.2	"NO"
2005-02-28	34.4	"NO"
2005-03-01	34	"NO"
2005-03-02	33.2	"NO"
2005-03-03	35.2	"NO"
2005-03-04	33.8	"NO"
2005-03-05	34.4	"NO"
2005-03-06	33.4	"NO"
2005-03-07	34	"NO"
2005-03-08	34.1	"NO"
2005-03-09	35.8	"NO"
2005-03-10	33.4	"NO"
2005-03-11	34.2	"NO"
2005-03-12	33.6	"NO"
2005-03-13	35.4	"NO"
2005-03-14	36.6	"NO"
2005-03-15	35.8	"NO"
2005-03-16	34.6	"NO"
2005-03-17	35	"NO"
2005-03-18	35.4	"NO"
2005-03-19	34.6	"NO"
2005-03-20	34.2	"NO"
2005-03-21	35.4	"NO"
2005-03-22	35.8	"NO"
2005-03-23	35.6	"NO"
2005-03-24	35	"NO"
2005-03-25	35	"NO"
2005-03-26	35.6	"NO"
2005-03-27	35	"NO"
2005-03-28	35	"NO"
2005-03-29	34.4	"NO"
2005-03-30	34.6	"NO"
2005-03-31	34.6	"NO"
2005-04-01	35	"NO"
2005-04-02	34.8	"NO"
2005-04-03	30	"NO"
2005-04-04	35.4	"NO"
2005-04-05	33.8	"NO"
2005-04-06	35.2	"NO"
2005-04-07	34	"NO"
2005-04-08	34.6	"NO"
2005-04-09	33.1	"NO"
2005-04-10	34.4	"NO"
2005-04-11	30.4	"NO"
2005-04-12	34	"NO"
2005-04-13	35	"NO"
2005-04-14	33.6	"NO"
2005-04-15	30.2	"NO"
2005-04-16	35	"NO"
2005-04-17	33.4	"NO"
2005-04-18	34.4	"NO"
2005-04-19	33.8	"NO"
2005-04-20	32.7	"NO"
2005-04-21	33	"NO"
2005-04-22	31.6	"NO"
2005-04-23	34.2	"NO"
2005-04-24	34	"NO"
2005-04-25	34.2	"NO"
2005-04-26	33.6	"NO"
2005-04-27	33	"NO"
2005-04-28	32.4	"NO"
2005-04-29	33.8	"NO"
2005-04-30	33.8	"NO"
2005-05-01	33.4	"NO"
2005-05-02	32.8	"NO"
2005-05-03	28.4	"NO"
2005-05-04	32.8	"NO"
2005-05-05	32.6	"NO"
2005-05-06	32.6	"NO"
2005-05-07	32.8	"NO"
2005-05-08	34.6	"NO"
2005-05-09	32.2	"NO"
2005-05-10	33.8	"NO"
2005-05-11	33	"NO"
2005-05-12	30.6	"NO"
2005-05-13	33.8	"NO"
2005-05-14	28.8	"NO"
2005-05-15	31.4	"NO"
2005-05-16	34	"NO"
2005-05-17	31.6	"NO"
2005-05-18	32.8	"NO"
2005-05-19	33	"NO"
2005-05-20	32.6	"NO"
2005-05-21	33	"NO"
2005-05-22	33.2	"NO"
2005-05-23	28.6	"NO"
2005-05-24	32.8	"NO"
2005-05-25	32.2	"NO"
2005-05-26	31.4	"NO"
2005-05-27	33.2	"NO"
2005-05-28	33.8	"NO"
2005-05-29	35.2	"NO"
2005-05-30	33.6	"NO"
2005-05-31	33.2	"NO"
2005-06-01	30.2	"NO"
2005-06-02	33.4	"NO"
2005-06-03	33.6	"NO"
2005-06-04	33	"NO"
2005-06-05	30	"NO"
2005-06-06	31.2	"NO"
2005-06-07	32.4	"NO"
2005-06-08	33.2	"NO"
2005-06-09	33.6	"NO"
2005-06-10	33	"NO"
2005-06-11	32	"NO"
2005-06-12	32.4	"NO"
2005-06-13	31.7	"NO"
2005-06-14	32.6	"NO"
2005-06-15	33.4	"NO"
2005-06-16	34.2	"NO"
2005-06-17	34.4	"NO"
2005-06-18	33.8	"NO"
2005-06-19	33.4	"NO"
2005-06-20	30.4	"NO"
2005-06-21	33	"NO"
2005-06-22	32.4	"NO"
2005-06-23	30.4	"NO"
2005-06-24	33.5	"NO"
2005-06-25	30.6	"NO"
2005-06-26	33.4	"NO"
2005-06-27	32.8	"NO"
2005-06-28	32.2	"NO"
2005-06-29	32.6	"NO"
2005-06-30	33.8	"NO"
2005-07-01	30.8	"NO"
2005-07-02	33.6	"NO"
2005-07-03	32.8	"NO"
2005-07-04	33.2	"NO"
2005-07-05	33.6	"NO"
2005-07-06	31.2	"NO"
2005-07-07	33.1	"NO"
2005-07-08	34.2	"NO"
2005-07-09	33	"NO"
2005-07-10	33.2	"NO"
2005-07-11	32	"NO"
2005-07-12	32	"NO"
2005-07-13	30.6	"NO"
2005-07-14	31.4	"NO"
2005-07-15	32.2	"NO"
2005-07-16	32.8	"NO"
2005-07-17	32.8	"NO"
2005-07-18	33.5	"NO"
2005-07-19	30.8	"NO"
2005-07-20	31.8	"NO"
2005-07-21	33	"NO"
2005-07-22	32.8	"NO"
2005-07-23	32.8	"NO"
2005-07-24	33.8	"NO"
2005-07-25	31.2	"NO"
2005-07-26	34.4	"NO"
2005-07-27	35.4	"NO"
2005-07-28	34	"NO"
2005-07-29	35	"NO"
2005-07-30	32.4	"NO"
2005-07-31	33.8	"NO"
2005-08-01	30.4678719201175	"SI"
2005-08-02	33.442900835733	"SI"
2005-08-03	33.5589192199983	"SI"
2005-08-04	33.8793553886772	"SI"
2005-08-05	34.7277551815352	"SI"
2005-08-06	33.4391932410039	"SI"
2005-08-07	29.787468057551	"SI"
2005-08-08	33.0148699196681	"SI"
2005-08-09	34.1198335893644	"SI"
2005-08-10	31.2910243357258	"SI"
2005-08-11	31.9915536553475	"SI"
2005-08-12	36.202200137442	"SI"
2005-08-13	34.193487888152	"SI"
2005-08-14	33.9096723729442	"SI"
2005-08-15	33.6350813168757	"SI"
2005-08-16	32.6647486885546	"SI"
2005-08-17	31.9056899740671	"SI"
2005-08-18	30.6116053463653	"SI"
2005-08-19	32.9703809942825	"SI"
2005-08-20	32.8634619772856	"SI"
2005-08-21	32.402175259096	"SI"
