ID_EVENTO,ID_LOTE,ID_FINCA,FECHA_SIEMBRA,TIPO_CULTIVO,FECHA_COSECHA,Rendimiento
2224,1984,1879,5/30/2015,Maiz,9/14/2015,4000
2276,2104,1985,5/15/2015,Maiz,9/2/2015,3500
2225,1983,1880,5/30/2015,Maiz,9/19/2015,2130
804,680,674,9/29/2013,Maiz,1/20/2014,6800
2042,1826,1726,5/3/2015,Maiz,8/25/2015,2600
2282,2101,1988,5/23/2015,Maiz,9/14/2015,4000
2545,2383,2281,5/19/2015,Maiz,9/10/2015,4164
2471,2332,2224,5/28/2015,Maiz,9/22/2015,1700
2501,2357,2242,5/21/2015,Maiz,9/15/2015,3800
2635,2436,2320,6/1/2015,Maiz,9/26/2015,3500
2029,1812,1711,5/20/2015,Maiz,9/15/2015,2350
2126,1929,1796,5/25/2015,Maiz,9/20/2015,3500
2130,1925,1800,5/17/2015,Maiz,9/12/2015,5200
2227,1982,1881,5/23/2015,Maiz,9/18/2015,1900
2134,1921,1804,5/20/2015,Maiz,9/16/2015,4500
2293,2171,2055,5/18/2015,Maiz,9/14/2015,3500
2351,2258,2146,5/18/2015,Maiz,9/14/2015,6000
779,665,658,5/28/2014,Maiz,9/25/2014,3200
797,676,670,9/17/2013,Maiz,1/15/2014,7200
2228,1981,1882,5/20/2015,Maiz,9/17/2015,4500
2229,1980,1883,5/21/2015,Maiz,9/18/2015,4000
548,479,477,10/1/2013,Maiz,1/30/2014,4000
2021,1804,1703,5/20/2015,Maiz,9/18/2015,6300
2040,1824,1724,5/31/2015,Maiz,9/29/2015,2200
2140,1915,1810,5/25/2015,Maiz,9/23/2015,4880
2214,1978,1885,5/28/2015,Maiz,9/26/2015,4000
2158,2003,1886,5/25/2015,Maiz,9/23/2015,5100
2314,2194,2080,6/6/2015,Maiz,10/5/2015,3500
2661,2444,2338,5/20/2015,Maiz,9/18/2015,5100
2687,2463,2357,5/25/2015,Maiz,9/23/2015,5100
2688,2464,2358,5/30/2015,Maiz,9/28/2015,4500
766,651,631,5/10/2014,Maiz,9/9/2014,3500
2086,1909,1790,5/20/2015,Maiz,9/19/2015,6000
2128,1927,1798,5/27/2015,Maiz,9/26/2015,2500
2132,1923,1802,5/16/2015,Maiz,9/15/2015,2880
2137,1918,1807,5/16/2015,Maiz,9/15/2015,3000
2230,1979,1884,5/21/2015,Maiz,9/20/2015,6680
2237,2095,1996,5/20/2015,Maiz,9/19/2015,4800
2468,2336,2220,5/21/2015,Maiz,9/20/2015,5500
2506,2359,2244,5/21/2015,Maiz,9/20/2015,5000
2609,2422,2319,5/26/2015,Maiz,9/25/2015,3500
806,682,676,9/13/2013,Maiz,1/14/2014,6800
2043,1827,1727,5/18/2015,Maiz,9/18/2015,1200
2053,1872,1755,5/25/2015,Maiz,9/25/2015,6950
2218,1988,1875,5/19/2015,Maiz,9/19/2015,3687
2280,2102,1987,5/20/2015,Maiz,9/20/2015,3000
2243,2097,1991,5/25/2015,Maiz,9/25/2015,2000
2011,1793,1677,5/27/2015,Maiz,9/28/2015,6100
2220,1987,1876,5/26/2015,Maiz,9/27/2015,2500
2352,2257,2147,5/20/2015,Maiz,9/21/2015,6000
2718,2474,2368,5/23/2015,Maiz,9/24/2015,5000
2735,2506,2401,5/20/2015,Maiz,9/21/2015,4900
539,469,454,10/1/2013,Maiz,2/3/2014,4000
537,471,456,10/1/2013,Maiz,2/3/2014,4000
783,669,662,5/5/2014,Maiz,9/7/2014,3000
2020,1803,1702,5/17/2015,Maiz,9/19/2015,4200
2022,1805,1704,5/26/2015,Maiz,9/28/2015,3500
2041,1825,1725,5/28/2015,Maiz,9/30/2015,2300
2089,1831,1731,5/20/2015,Maiz,9/22/2015,2200
2078,1884,1767,5/18/2015,Maiz,9/20/2015,6300
2088,1910,1791,5/20/2015,Maiz,9/22/2015,4800
2091,1912,1794,5/23/2015,Maiz,9/25/2015,5500
2733,2504,2399,5/18/2015,Maiz,9/20/2015,4800
788,668,661,5/17/2014,Maiz,9/20/2014,3200
2216,1989,1873,5/18/2015,Maiz,9/21/2015,4800
2211,2082,1969,5/20/2015,Maiz,9/23/2015,5500
2233,2091,1992,5/23/2015,Maiz,9/26/2015,5200
2238,2096,1997,5/17/2015,Maiz,9/20/2015,4800
293,276,249,5/20/2013,Maiz,9/24/2013,5300
294,277,250,5/13/2013,Maiz,9/17/2013,5800
769,654,647,5/6/2014,Maiz,9/10/2014,3500
780,666,659,5/8/2014,Maiz,9/12/2014,3700
784,670,663,5/13/2014,Maiz,9/17/2014,4000
2018,1801,1700,5/25/2015,Maiz,9/29/2015,5500
2048,1830,1730,5/28/2015,Maiz,10/2/2015,4600
2050,1871,1754,5/16/2015,Maiz,9/20/2015,6300
2111,1948,1831,5/1/2015,Maiz,9/5/2015,6200
2222,1985,1878,5/24/2015,Maiz,9/28/2015,6620
2536,2376,2273,5/25/2015,Maiz,9/29/2015,3800
57,45,45,5/7/2013,Maiz,9/12/2013,5200
273,46,46,5/7/2013,Maiz,9/12/2013,5700
787,653,646,5/10/2014,Maiz,9/15/2014,4000
781,667,660,5/20/2014,Maiz,9/25/2014,3800
813,689,683,5/7/2014,Maiz,9/12/2014,3700
839,715,710,4/30/2013,Maiz,9/5/2013,5500
1772,1549,1383,10/1/2014,Maiz,2/6/2015,3600
2030,1814,1714,5/30/2015,Maiz,10/5/2015,5700
2045,1829,1729,5/15/2015,Maiz,9/20/2015,5800
2081,1907,1788,5/9/2015,Maiz,9/14/2015,4900
2136,1919,1806,5/20/2015,Maiz,9/25/2015,5000
2474,2333,2223,5/5/2015,Maiz,9/10/2015,2500
2511,2364,2249,5/22/2015,Maiz,9/27/2015,5850
2722,2478,2372,5/25/2015,Maiz,9/30/2015,4800
2044,1828,1728,5/15/2015,Maiz,9/21/2015,4000
2083,1908,1789,5/11/2015,Maiz,9/17/2015,5000
2090,1911,1793,5/14/2015,Maiz,9/20/2015,5500
2138,1917,1808,5/6/2015,Maiz,9/12/2015,4000
2139,1916,1809,5/4/2015,Maiz,9/10/2015,2970
2235,2093,1994,5/15/2015,Maiz,9/21/2015,4900
2473,2334,2222,5/6/2015,Maiz,9/12/2015,7326
56,44,44,5/12/2013,Maiz,9/19/2013,5500
536,470,455,9/26/2013,Maiz,2/3/2014,4000
785,671,664,5/26/2014,Maiz,10/3/2014,4200
2080,1906,1787,5/11/2015,Maiz,9/18/2015,5000
2283,2100,1989,5/18/2015,Maiz,9/25/2015,6500
2236,2094,1995,5/20/2015,Maiz,9/27/2015,5300
2470,2331,2224,5/28/2015,Maiz,10/5/2015,2250
2466,2340,2225,5/23/2015,Maiz,9/30/2015,6400
2472,2341,2226,5/25/2015,Maiz,10/2/2015,3800
2719,2475,2369,5/20/2015,Maiz,9/27/2015,4800
2039,1823,1723,5/27/2015,Maiz,10/5/2015,2000
2092,1913,1795,5/22/2015,Maiz,9/30/2015,5000
2127,1928,1797,5/26/2015,Maiz,10/4/2015,2040
2141,1914,1811,5/20/2015,Maiz,9/28/2015,3000
2160,2005,1888,5/20/2015,Maiz,9/28/2015,5000
2161,2006,1889,5/15/2015,Maiz,9/23/2015,5300
2284,2099,1990,5/18/2015,Maiz,9/26/2015,6500
2469,2335,2221,5/20/2015,Maiz,9/28/2015,5000
54,43,43,5/2/2013,Maiz,9/11/2013,5000
287,270,242,5/26/2013,Maiz,10/5/2013,4500
2016,1799,1683,5/28/2015,Maiz,10/7/2015,5890
2110,1947,1830,5/23/2015,Maiz,10/2/2015,5000
2507,2360,2245,5/5/2015,Maiz,9/14/2015,6000
2772,2514,2409,5/25/2015,Maiz,10/4/2015,5700
282,47,47,5/8/2013,Maiz,9/18/2013,5200
289,272,245,5/1/2013,Maiz,9/11/2013,5300
291,274,247,5/20/2013,Maiz,9/30/2013,6000
2015,1798,1682,5/27/2015,Maiz,10/7/2015,5900
2467,2337,2219,5/25/2015,Maiz,10/5/2015,2125
2508,2361,2246,5/20/2015,Maiz,9/30/2015,5500
2690,2465,2359,5/20/2015,Maiz,9/30/2015,5400
286,269,241,5/3/2013,Maiz,9/14/2013,5500
288,271,243,5/1/2013,Maiz,9/12/2013,6200
290,273,246,5/10/2013,Maiz,9/21/2013,4500
817,693,687,5/6/2014,Maiz,9/18/2014,4000
2694,2468,2362,5/16/2015,Maiz,9/28/2015,6000
2723,2479,2373,5/15/2015,Maiz,9/27/2015,5100
53,40,42,5/13/2013,Maiz,9/26/2013,5000
284,268,240,5/9/2013,Maiz,9/22/2013,6000
2079,1905,1786,5/7/2015,Maiz,9/20/2015,5100
2641,2439,2328,5/12/2015,Maiz,9/25/2015,4500
840,716,711,5/23/2014,Maiz,10/7/2014,5000
2035,1820,1720,5/26/2015,Maiz,10/10/2015,4000
2135,1920,1805,5/21/2015,Maiz,10/5/2015,7200
283,51,50,5/2/2013,Maiz,9/17/2013,4700
2643,2440,2330,5/16/2015,Maiz,10/1/2015,6400
2019,1802,1701,5/26/2015,Maiz,10/12/2015,2232
2207,2081,1968,5/29/2015,Maiz,10/15/2015,4000
2535,2375,2272,5/28/2015,Maiz,10/15/2015,5500
